"ASX code","Company name","Listing date","GICs industry group"
"AVH","AVITA THERAPEUTICS, INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences"
"AVJ","AVJENNINGS LIMITED","1994-01-27","Real Estate"
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials"
"AVN","AVENTUS GROUP","2015-10-16","Real Estate"
"AVQ","AXIOM MINING LIMITED","2006-11-10","Materials"
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services"
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials"
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials"
"AWC","ALUMINA LIMITED","1961-10-31","Materials"
"AWJ","AURIC MINING LIMITED",,"Class Pend"
"AWN","AWN HOLDINGS LIMITED","2003-06-04","Capital Goods"
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials"
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing"
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials"
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Materials"
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate"
"AXT","ARGO EXPLORATION LIMITED","2006-12-11","Materials"
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials"
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials"
"AYS","AMAYSIM AUSTRALIA LIMITED","2015-07-15","Utilities"
"AZI","ALTA ZINC LIMITED","2009-12-24","Materials"
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation"
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials"
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials"
"B2Y","BOUNTY MINING LIMITED","2018-06-19","Materials"
"BAP","BAPCOR LIMITED","2014-04-24","Retailing"
"BAR","BARRA RESOURCES LIMITED","2000-12-12","Materials"
"BAS","BASS OIL LIMITED","2004-09-30","Energy"
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials"
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks"
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment"
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing"
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials"
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials"
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials"
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment"
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials"
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials"
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials"
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment"
"BD1","BARD1 LIFE SCIENCES LIMITED","1991-04-18","Health Care Equipment & Services"
"BDA","BOD AUSTRALIA LIMITED","2016-10-27","Retailing"
"BDC","BARDOC GOLD LIMITED","2007-12-12","Materials"
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials"
"BDI","BLINA MINERALS NL","2004-08-17","Materials"
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials"
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco"
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic"
"BEM","BLACKEARTH MINERALS NL","2018-01-19","Materials"
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks"
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services"
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco"
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials"
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco"
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials"
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing"
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials"
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic"
"BHL","BOYUAN HOLDINGS LIMITED","2016-10-31","Real Estate"
"BHP","BHP GROUP LIMITED","1885-08-13","Materials"
"BID","BILL IDENTITY LIMITED","2011-01-27","Software & Services"
"BIN","BINGO INDUSTRIES LIMITED","2017-05-03","Commercial & Professional Services"
"BIQ","BUILDINGIQ, INC","2015-12-17","Software & Services"
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials"
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials"
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences"
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing"
